2.773,7.585
2.232,7.592
2.47,7.912
2.672,7.169
0.7118,6.984
3.348,7.424
2.062,8.286
1.633,7.517
2.147,5.776
3.549,7.678
2.42,7.155
2.55,8.345
1.667,7.205
2.119,7.342
1.974,8.456
0.6753,6.353
1.998,6.649
3.906,9.593
0.9496,6.798
1.336,6.616
2.186,7.405
3.34,8.34
-0.004789,5.581
0.6891,5.682
1.21,6.891
1.946,7.189
1.691,7.748
1.935,6.357
2.192,7.2
1.859,7.514
1.715,6.092
3.741,8.505
2.116,6.452
3.436,8.649
1.791,6.875
3.396,7.637
0.08298,6.757
1.524,8.097
2.078,7.806
1.217,5.706
1.347,7.054
2.615,8.953
1.802,7.095
1.679,7.338
2.408,6.127
1.586,7.256
2.779,6.822
2.412,6.547
2.663,7.363
1.528,5.529
4.622,8.456
1.382,4.862
1.304,6.705
0.5003,7.109
0.8131,5.729
0.6339,4.997
3.305,8.208
0.983,6
0.8073,6.032
3.116,8.185
3.338,7.487
1.837,6.641
2.37,8.318
0.2081,4.689
2.766,7.478
2.849,7.241
3.662,8.515
2.357,7.287
0.9056,5.324
1.702,6.792
2.781,7.045
-0.1095,5.026
-0.1378,7.233
0.5293,6.577
1.729,7.36
2.489,6.756
-0.6594,3.968
1.689,7.187
1.069,5.783
2.115,6.532
1.065,6.924
1.479,6.174
2.545,7.054
1.944,8.362
1.177,5.638
4.235,9.451
1.85,6.127
2.768,7.431
1.736,5.302
2.655,6.543
1.576,5.636
1.964,6.273
1.972,5.692
0.3326,6.129
-0.04023,4.947
1.109,6.995
2.383,7.598
0.8292,6.316
2.963,7.992
1.939,7.056
5.307,3.437
6.046,1.725
6.387,3.872
5.827,2.202
3.741,1.866
6.252,1.938
4.941,3.455
3.399,1.255
4.973,2.838
6.543,2.349
4.823,3.69
5.537,2.528
5.382,3.898
5.173,4.008
2.767,3.302
4.465,3.953
6.087,2.914
5.603,2.875
5.49,1.888
4.1,2.386
5.794,1.365
3.383,1.949
7.522,3.308
6.009,3.086
6.014,3.132
4.687,2.44
3.548,1.864
6.19,1.397
4.999,3.416
4.075,1.035
6.307,2.415
4.525,3.2
5.725,1.836
5.748,3.433
5.543,3.141
6.109,2.901
4.579,4.576
3.951,1.488
6.195,2.604
6.107,3.049
4.099,2.664
7.036,2.584
5.222,2.191
3.685,1.475
4.23,0.6863
4.563,2.072
4.421,2.433
6.34,2.373
4.923,2.832
5.19,2.245
5.31,3.935
5.389,3.147
5.189,2.905
6.02,0.7836
5.37,2.719
6.485,3.006
5.612,3.986
4.392,0.2862
4.465,4.893
4.483,2.328
5.894,2.814
4.212,2.735
3.712,3.429
4.646,0.955
3.978,2.703
3.932,3.072
5.509,3.267
4.074,1.815
3.987,3.092
5.606,2.488
4.108,4.387
5.923,3.342
4.613,2.038
4.435,2.959
4.213,1.788
5.687,4.107
4.319,3.867
5.057,2.852
5.979,3.006
6.786,2.623
5.245,-0.9483
4.407,2.663
5.285,2.796
5.64,2.602
5.468,3.057
5.541,2.4
4.351,3.911
7.205,2.892
4.003,2.72
4.278,1.153
5.975,4.878
5.665,3.067
4.816,1.751
3.449,5.027
4.836,3.761
5.835,2.302
3.7,2.879
5.553,2.148
5.945,1.78
4.304,3.596
9.083,5.09
8.418,5.835
8.811,5.425
8.215,8.344
7.499,8.751
8.534,7.283
9.317,7.032
7.325,8.626
7.858,7.671
9.15,7.852
9.107,6.747
8.424,7.159
6.446,8.89
6.361,7.644
6.158,8.573
6.662,8.603
7.545,8.045
6.582,7.803
8.628,7.021
8.576,7.072
6.984,8.164
7.395,9.317
7.324,8.059
8.229,5.863
6.057,8.63
9.056,5.741
6.942,7.17
10.15,5.383
6.282,7.681
9.179,6.574
8.672,6.401
9.192,5.374
7.984,7.407
6.517,7.175
7.538,6.54
7.09,7.911
6.909,7.204
9.721,5.361
8.596,7.573
8.217,6.964
7.589,6.289
6.587,7.91
9.033,5.281
8.186,6.632
7.387,7.532
7.653,7.008
9.195,6.774
7.652,8.036
5.336,7.842
10.54,4.868
9.245,6.068
6.627,7.931
8.733,6.013
9.285,6.614
7.941,5.77
8.734,5.586
7.244,6.418
7.605,6.915
6.727,7.902
7.826,7.333
7.449,6.847
9.603,5.359
8.813,7.017
9.16,6.985
6.998,6.572
7.182,5.699
7.737,7.982
7.724,7.207
8.694,6.134
7.268,9.245
8.096,5.289
6.445,8.051
8.092,5.964
7.981,6.712
7.288,7.82
7.484,7.286
8.807,6.654
7.28,5.557
8.987,6.045
7.462,9.123
6.917,7.456
6.627,7.042
8.63,6.815
9.492,4.988
9.155,6.42
8.565,6.425
6.562,7.789
7.68,6.366
7.454,5.623
6.64,8.242
8.676,7.237
8.158,8.541
9.362,5.845
9.981,5.448
9.763,5.314
8.204,6.429
8.883,6.9
6.339,9.999
6.641,8.508
7.516,7.362
